driver,n_buckets,n_reviews,score_spread,best_bucket,best_bucket_score,worst_bucket,worst_bucket_score,detractor_rate_spread,weighted_bucket_dispersion,rank_by_spread,analysis_start,analysis_end
order_status,6,98325,2.89011687405612,delivered,4.156328478151683,processing,1.266211604095563,0.8003664027943722,0.4002558972132736,1,2017-01-01,2018-08-31
primary_category,64,98151,2.7387116658961324,books_general_interest,4.468253968253968,no items,1.7295423023578362,0.735013099090769,0.23123581735001833,2,2017-01-01,2018-08-31
delivery_days_band,6,98330,2.6927556691460364,01 under 5d,4.446907293694773,no outcome,1.7541516245487365,0.7063278272468287,0.5868519563468887,3,2017-01-01,2018-08-31
lateness_band,6,98330,2.6233753816770085,0 on time,4.291157408445651,3 late 7-21d,1.6677820267686425,0.7120194902528796,0.6592240066779287,4,2017-01-01,2018-08-31
seller_sla,3,98330,2.58398161445529,met dispatch SLA,4.176838757312432,unknown,1.5928571428571427,0.706758574106078,0.35840647939683895,5,2017-01-01,2018-08-31
payment_type,5,98330,2.4510132531977193,debit_card,4.180555555555555,unknown,1.7295423023578362,0.6635845276621976,0.20305030677535024,6,2017-01-01,2018-08-31
gmv_band,6,98330,2.4401588312732185,01 under R$50,4.1697011336310545,no items,1.7295423023578362,0.6676555663605122,0.21243186564808597,7,2017-01-01,2018-08-31
installments,5,98330,2.4117014703348936,01 single payment,4.14124377269273,unknown,1.7295423023578362,0.6585497405198363,0.20688203336603117,8,2017-01-01,2018-08-31
freight_ratio_band,6,98330,2.4092910846869593,01 under 10%,4.138833387044795,unknown,1.7295423023578362,0.6537950296398448,0.20508160283042154,9,2017-01-01,2018-08-31
distance_band,6,98330,1.461623129113319,02 50-200km,4.242223591007083,unknown,2.7806004618937643,0.39374718606836223,0.17450616583385536,10,2017-01-01,2018-08-31
multi_seller,2,98330,1.245060511069577,single seller,4.1045843205933865,multi-seller,2.8595238095238096,0.3301906985794901,0.1400335849777883,11,2017-01-01,2018-08-31
customer_region,5,98330,0.24240926374767335,Sul,4.137219922934209,Nordeste,3.8948106591865357,0.05507285741707699,0.0672449874527347,12,2017-01-01,2018-08-31
